run,operation,started,time,status,label,batch_size,lr,sample_file,epochs,hidden_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,output_size,tsample,tsr_stop,sc_true,sc_false,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,bin_duration,data_path,save_dir,threshold,prob
060b4aef,vt_optimize:vis,2020-04-03 09:19:43,2:02:43,completed,batch_size=256 cuda=2 lr=0.05 sample_file=2,256,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
e3bca7ff,vt_optimize:vis,2020-04-03 07:17:50,2:01:52,completed,batch_size=256 cuda=2 lr=0.01 sample_file=2,256,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
dd5b790a,vt_optimize:tact,2020-04-03 05:13:36,0:43:22,completed,batch_size=256 cuda=1 lr=0.05 sample_file=2,256,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
7ef30ebd,vt_optimize:vis,2020-04-03 05:11:32,2:06:18,completed,batch_size=256 cuda=2 lr=0.005 sample_file=2,256,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
1b50b5cd,vt_optimize:tact,2020-04-03 04:30:26,0:43:09,completed,batch_size=256 cuda=1 lr=0.01 sample_file=2,256,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
60f0434c,vt_optimize:tact,2020-04-03 03:47:37,0:42:48,completed,batch_size=256 cuda=1 lr=0.005 sample_file=2,256,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
dd3e80a2,vt_optimize:tact,2020-04-03 03:06:07,0:41:30,completed,batch_size=256 cuda=1 lr=0.001 sample_file=2,256,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
83be30ce,vt_optimize:vis,2020-04-03 03:05:46,2:05:45,completed,batch_size=256 cuda=2 lr=0.001 sample_file=2,256,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
7c0e68dd,vt_optimize:tact,2020-04-03 02:49:25,0:16:42,completed,batch_size=128 cuda=1 lr=0.05 sample_file=2,128,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
60a88c9d,vt_optimize:vis,2020-04-03 02:38:13,0:27:32,completed,batch_size=128 cuda=2 lr=0.05 sample_file=2,128,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
17a452d9,vt_optimize:tact,2020-04-03 02:32:54,0:16:31,completed,batch_size=128 cuda=1 lr=0.01 sample_file=2,128,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
bd819d37,vt_optimize:tact,2020-04-03 02:16:06,0:16:47,completed,batch_size=128 cuda=1 lr=0.005 sample_file=2,128,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
d632f18b,vt_optimize:vis,2020-04-03 02:10:48,0:27:25,completed,batch_size=128 cuda=2 lr=0.01 sample_file=2,128,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
