run,operation,started,time,status,label,bin_duration,blacklist_path,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path,batch_size,epochs,lr,sample_file,output_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,tsample,tsr_stop,sc_true,sc_false,theta,tauRho,hidden_size,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,data_path,checkpoint_dir,data_dir,step,acc/test,acc/train,loss/test,loss/train,prob
f03fd532,vtsnn:prepare-data,2020-04-13 00:06:38,0:00:00,completed,bin_duration=0.02 blacklist_path=/…/blacklist.txt modes=vitac n_sample_per_object=40 remove_outlier=0 save_dir=/…/data_VT_SNN_2 selection=grasp_lift_hold tactile_path=/…/aces_recordings threshold=1 trajectory_path=/…/traj_start_ends video_path=/…/prophesee_recordings,0.02,/datasets/eventdata/batch2/blacklist.txt,vitac,40,0,/home/tasbolat/some_python_examples/data_VT_SNN_2/,grasp_lift_hold,/datasets/eventdata/batch2_new/aces_recordings/,1,/datasets/eventdata/batch2_new/traj_start_ends/,/datasets/eventdata/batch2_new/prophesee_recordings/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934faa45,vtsnn:prepare-data,2020-04-13 00:05:05,0:00:00,completed,bin_duration=0.02 blacklist_path=/…/blacklist.txt modes=vitac n_sample_per_object=40 remove_outlier=no save_dir=/…/data_VT_SNN_2 selection=grasp_lift_hold tactile_path=/…/aces_recordings threshold=1 trajectory_path=/…/traj_start_ends video_path=/…/prophesee_recordings,0.02,/datasets/eventdata/batch2/blacklist.txt,vitac,40,False,/home/tasbolat/some_python_examples/data_VT_SNN_2/,grasp_lift_hold,/datasets/eventdata/batch2_new/aces_recordings/,1,/datasets/eventdata/batch2_new/traj_start_ends/,/datasets/eventdata/batch2_new/prophesee_recordings/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4e98036,vtsnn:prepare-data,2020-04-13 00:04:08,0:00:00,completed,bin_duration=0.02 blacklist_path=/…/blacklist.txt modes=vitac n_sample_per_object=40 remove_outlier=no save_dir=/…/data_VT_SNN_2 selection=grasp_lift_hold tactile_path=/…/aces_recordings threshold=1 trajectory_path=/…/traj_start_ends video_path=/…/prophesee_recordings,0.02,/datasets/eventdata/batch2/blacklist.txt,vitac,40,False,/home/tasbolat/some_python_examples/data_VT_SNN_2/,grasp_lift_hold,/datasets/eventdata/batch2_new/aces_recordings/,1,/datasets/eventdata/batch2_new/traj_start_ends/,/datasets/eventdata/batch2_new/prophesee_recordings/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3206f939,vtsnn:prepare-data,2020-04-13 00:01:31,0:00:00,completed,bin_duration=0.02 blacklist_path=/…/blacklist.txt modes=vitac n_sample_per_object=40 remove_outlier=no save_dir=/…/data_VT_SNN_2 selection=grasp_lift_hold tactile_path=/…/aces_recordings threshold=1 trajectory_path=/…/traj_start_ends video_path=/…/prophesee_recordings,0.02,/datasets/eventdata/batch2/blacklist.txt,vitac,40,False,/home/tasbolat/some_python_examples/data_VT_SNN_2/,grasp_lift_hold,/datasets/eventdata/batch2_new/aces_recordings/,1,/datasets/eventdata/batch2_new/traj_start_ends/,/datasets/eventdata/batch2_new/prophesee_recordings/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9f26d8f5,vtsnn:tact_ann_cnn3d,2020-04-12 21:58:51,0:37:23,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 lr=1.0e-05 output_size=20 sample_file=4,,,,,,,,,,,,8,2000,1e-05,4,20,3.6305615935816604e-07,1.0,0.6428375840187073,0.550000011920929,0.4642857015132904,1.0,,,,,,,,,,,,,,,,,,,,,,
6df93bbe,vtsnn:tact_ann_cnn3d,2020-04-12 21:50:32,0:28:43,completed,batch_size=32 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 lr=1.0e-05 output_size=20 sample_file=4,,,,,,,,,,,,32,2000,1e-05,4,20,0.0006220591021701694,1.0,0.06925312429666519,0.5357142686843872,0.5142857432365417,1.0,,,,,,,,,,,,,,,,,,,,,,
c35894ce,vtsnn:tact_ann_cnn3d,2020-04-12 21:22:36,0:36:14,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 lr=1.0e-05 output_size=20 sample_file=1,,,,,,,,,,,,8,2000,1e-05,1,20,6.088188797548355e-08,1.0,0.7446230053901672,0.5571428537368774,0.47857141494750977,1.0,,,,,,,,,,,,,,,,,,,,,,
2e46d66f,vtsnn:tact_ann_cnn3d,2020-04-12 21:22:07,0:28:24,completed,batch_size=32 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 lr=1.0e-05 output_size=20 sample_file=1,,,,,,,,,,,,32,2000,1e-05,1,20,0.0004720445431303233,1.0,0.0743141695857048,0.5857142806053162,0.48571428656578064,1.0,,,,,,,,,,,,,,,,,,,,,,
3ac6350a,vtsnn:tact_ann_cnn3d,2020-04-12 21:07:26,0:02:40,completed,batch_size=32 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=200 lr=1.0e-05 output_size=20 sample_file=4,,,,,,,,,,,,32,200,1e-05,4,20,0.05391557887196541,0.6571428775787354,0.06837400794029236,0.3642857074737549,0.3285714387893677,0.6571428775787354,,,,,,,,,,,,,,,,,,,,,,
f733e5fb,vtsnn:tact_ann_cnn3d,2020-04-12 21:06:56,0:03:59,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=200 lr=1.0e-05 output_size=20 sample_file=4,,,,,,,,,,,,8,200,1e-05,4,20,0.14234299957752228,0.8160714507102966,0.20186273753643036,0.4285714328289032,0.4285714328289032,0.8160714507102966,,,,,,,,,,,,,,,,,,,,,,
