run,operation,started,time,status,label,batch_size,epochs,lr,sample_file,finger_type,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,tsample,tsr_stop,sc_true,sc_false,theta,tauRho,hidden_size,loss_type,output_size,bin_duration,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path
d7237fd6,vtsnn4:tac_rpg_2,2020-06-15 16:22:37,0:01:35,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_i_m_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,0.0001,3,1,0.16073478758335114,0.9333333373069763,0.2931961119174957,0.6666666865348816,0.4000000059604645,0.9333333373069763,,,,,,,,,,,,,,,,,,,
02d97639,vtsnn4:tac_rpg_2,2020-06-15 16:21:04,0:01:32,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_i_m_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,0.0001,2,1,0.15408697724342346,1.0,0.28591999411582947,0.6666666865348816,0.46666666865348816,0.9666666388511658,,,,,,,,,,,,,,,,,,,
d755f735,vtsnn4:tact-snn-2,2020-06-15 16:20:21,0:01:50,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun15_i_m_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,0,1.27384614944458,1.0,102.39768981933594,0.46666666865348816,0.46666666865348816,1.0,325,325,150,5,10,1,32,0,3,,,,,,,,,,
a1d8e062,vtsnn4:tac_rpg_2,2020-06-15 16:19:32,0:01:31,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_i_m_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,0.0001,1,1,0.16069915890693665,0.9333333373069763,0.26500967144966125,0.6666666865348816,0.6666666865348816,0.9333333373069763,,,,,,,,,,,,,,,,,,,
49700858,vtsnn4:tact-snn-2,2020-06-15 16:18:31,0:01:49,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun15_i_m_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,0,2.7323079109191895,1.0,115.44154357910156,0.6000000238418579,0.2666666805744171,1.0,325,325,150,5,10,1,32,0,3,,,,,,,,,,
fa3eb708,vtsnn4:tac_rpg_2,2020-06-15 16:18:00,0:01:31,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_i_m_diag epochs=300 finger_type=0 lr=0.0001 sample_file=3,4,300,0.0001,3,0,0.13934136927127838,0.8333333134651184,0.24944335222244263,0.6666666865348816,0.6000000238418579,0.8333333134651184,,,,,,,,,,,,,,,,,,,
d0ffcf93,vtsnn4:tact-snn-2,2020-06-15 16:16:39,0:01:52,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun15_i_m_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,0,3.2903847694396973,1.0,117.90384674072266,0.3333333432674408,0.20000000298023224,1.0,325,325,150,5,10,1,32,0,3,,,,,,,,,,
b62436a8,vtsnn4:tac_rpg_2,2020-06-15 16:16:28,0:01:31,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_i_m_diag epochs=300 finger_type=0 lr=0.0001 sample_file=2,4,300,0.0001,2,0,0.13281452655792236,0.8999999761581421,0.29572370648384094,0.46666666865348816,0.4000000059604645,0.8999999761581421,,,,,,,,,,,,,,,,,,,
2269e4a5,vtsnn4:tac_rpg_2,2020-06-15 16:14:53,0:01:35,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_i_m_diag epochs=300 finger_type=0 lr=0.0001 sample_file=1,4,300,0.0001,1,0,0.1449049562215805,0.8666666746139526,0.24215365946292877,0.6666666865348816,0.6666666865348816,0.8666666746139526,,,,,,,,,,,,,,,,,,,
be574373,vtsnn4:tact-snn-2,2020-06-15 16:10:15,0:02:03,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun15_i_m_diag epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,3,1,3.088461399078369,1.0,97.87461853027344,0.3333333432674408,0.3333333432674408,1.0,325,325,150,5,10,1,32,0,3,,,,,,,,,,
