run,operation,started,time,status,label,batch_size,epochs,tsample,tsr_stop,sc_true,sc_false,lr,theta,tauRho,sample_file,hidden_size,loss_type,output_size,finger_type,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,bin_duration,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path
c2282677,vtsnn6:tact-snn-2,2020-06-16 22:53:44,0:02:52,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_x_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,3,32,0,3,0,27.00115203857422,0.8999999761581421,75.58460998535156,0.5333333611488342,0.46666666865348816,0.8333333134651184,,,,,,,,,,
95d71ca2,vtsnn6:tact-snn-2,2020-06-16 22:53:42,0:02:58,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_z_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,3,32,0,3,0,22.56884765625,0.9333333373069763,76.0438461303711,0.46666666865348816,0.4000000059604645,0.9333333373069763,,,,,,,,,,
d44f055f,vtsnn6:tact-snn-2,2020-06-16 22:53:19,0:02:59,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_y_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,3,32,0,3,0,23.07115364074707,0.9666666388511658,66.78384399414062,0.5333333611488342,0.46666666865348816,0.9333333373069763,,,,,,,,,,
af756ff1,vtsnn6:tact-snn-2,2020-06-16 22:53:16,0:03:10,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_v_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,3,32,0,3,0,17.31307601928711,1.0,76.0530776977539,0.46666666865348816,0.46666666865348816,0.9333333373069763,,,,,,,,,,
5df248cc,vtsnn6:tact-snn-2,2020-06-16 22:53:14,0:03:17,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_w_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,3,32,0,3,0,21.761154174804688,0.8666666746139526,108.45077514648438,0.4000000059604645,0.0,0.8666666746139526,,,,,,,,,,
729abee7,vtsnn6:tac_rpg_2,2020-06-16 22:52:01,0:02:51,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_y_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.193923681974411,0.7666666507720947,0.2598292827606201,0.6666666865348816,0.6666666865348816,0.7666666507720947,,,,,,,,,,
cdf2f27d,vtsnn6:tac_rpg_2,2020-06-16 22:51:55,0:02:53,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_x_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.157497376203537,0.9333333373069763,0.28117772936820984,0.46666666865348816,0.4000000059604645,0.9333333373069763,,,,,,,,,,
9a69fc4d,vtsnn6:tac_rpg_2,2020-06-16 22:51:48,0:02:50,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_z_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.17633812129497528,0.9666666388511658,0.2785106301307678,0.6000000238418579,0.46666666865348816,0.9666666388511658,,,,,,,,,,
3594ab78,vtsnn6:tac_rpg_2,2020-06-16 22:51:41,0:02:53,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_w_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.1744050830602646,0.8666666746139526,0.223539799451828,0.7333333492279053,0.7333333492279053,0.8666666746139526,,,,,,,,,,
ff079669,vtsnn6:tac_rpg_2,2020-06-16 22:51:27,0:03:04,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_v_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.18584559857845306,0.8999999761581421,0.24149776995182037,0.6666666865348816,0.6666666865348816,0.8999999761581421,,,,,,,,,,
f874b10e,vtsnn6:tact-snn-2,2020-06-16 22:49:16,0:04:25,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_z_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,2,32,0,3,0,25.526153564453125,0.9333333373069763,85.70230102539062,0.4000000059604645,0.3333333432674408,0.9333333373069763,,,,,,,,,,
c6b2bc15,vtsnn6:tact-snn-2,2020-06-16 22:49:07,0:04:36,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_x_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,2,32,0,3,0,23.03230857849121,0.8999999761581421,80.17845916748047,0.46666666865348816,0.13333334028720856,0.8999999761581421,,,,,,,,,,
370e9087,vtsnn6:tact-snn-2,2020-06-16 22:48:51,0:04:28,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_y_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,2,32,0,3,0,23.71884536743164,0.8333333134651184,78.13614654541016,0.5333333611488342,0.4000000059604645,0.8333333134651184,,,,,,,,,,
