run,operation,started,time,status,label,batch_size,epochs,tsample,tsr_stop,sc_true,sc_false,lr,theta,tauRho,sample_file,hidden_size,loss_type,output_size,finger_type,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,bin_duration,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path
81c7dc0f,vtsnn5:tact-snn-2,2020-06-15 17:26:31,0:01:52,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun15_j_n_diag epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,3,32,0,3,1,4.410769462585449,1.0,58.46846008300781,0.5333333611488342,0.5333333611488342,1.0,,,,,,,,,,
a3c19ad2,vtsnn5:tac_rpg_2,2020-06-15 17:24:35,0:01:27,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_j_n_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.1559765487909317,0.800000011920929,0.22331741452217102,0.6000000238418579,0.5333333611488342,0.800000011920929,,,,,,,,,,
817fbe38,vtsnn5:tact-snn-2,2020-06-15 17:24:30,0:02:01,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun15_j_n_diag epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,2,32,0,3,1,1.870384693145752,1.0,104.07537841796875,0.5333333611488342,0.2666666805744171,1.0,,,,,,,,,,
333b3cb0,vtsnn5:tac_rpg_2,2020-06-15 17:23:08,0:01:27,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_j_n_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.14017848670482635,0.9333333373069763,0.2741338014602661,0.5333333611488342,0.46666666865348816,0.8999999761581421,,,,,,,,,,
88615923,vtsnn5:tac_rpg,2020-06-15 17:22:36,0:02:28,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_j_n_diag epochs=300 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,,0.11460063606500626,0.8999999761581421,0.16207775473594666,0.800000011920929,0.800000011920929,0.8999999761581421,,,,,,,,,,
637f3f2a,vtsnn5:tact-snn-2,2020-06-15 17:22:24,0:02:05,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun15_j_n_diag epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,1,32,0,3,1,1.3392307758331299,1.0,88.12845611572266,0.46666666865348816,0.46666666865348816,1.0,,,,,,,,,,
1f7e5386,vtsnn5:tac_rpg_2,2020-06-15 17:21:39,0:01:28,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_j_n_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.1354570984840393,0.8666666746139526,0.3020983338356018,0.6000000238418579,0.46666666865348816,0.8666666746139526,,,,,,,,,,
3062d9a0,vtsnn5:tact-snn-2,2020-06-15 17:20:31,0:01:52,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun15_j_n_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,3,32,0,3,0,8.236538887023926,0.9666666388511658,70.27000427246094,0.7333333492279053,0.6000000238418579,0.9666666388511658,,,,,,,,,,
2ffe354e,vtsnn5:tac_rpg_2,2020-06-15 17:20:11,0:01:27,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_j_n_diag epochs=300 finger_type=0 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,0,0.1109030544757843,0.8999999761581421,0.155425027012825,0.800000011920929,0.7333333492279053,0.8999999761581421,,,,,,,,,,
93630e79,vtsnn5:tac_rpg,2020-06-15 17:20:11,0:02:24,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun15_j_n_diag epochs=300 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,,0.09720061719417572,0.9666666388511658,0.19971738755702972,0.7333333492279053,0.6666666865348816,0.9333333373069763,,,,,,,,,,
