run,operation,started,time,status,label,batch_size,prob,epochs,tsample,tsr_stop,sc_true,sc_false,lr,sample_file,theta,tauRho,loss_type,loss_train,max_acc_train,loss_test,acc_test,acc_train,max_acc_test,hidden_size,path,bin_duration,blacklist_path,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path,checkpoint_dir,data_dir,step,acc/test,acc/train,loss/test,loss/train,output_size,weightFunction,l1_loss/test,l1_loss/train,l2_loss/test,l2_loss/train,tsr_start
ded9e900,vtsnn:mm-snn,2020-05-29 11:38:03,0:16:30,running,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_new epochs=500 loss_type=1 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,1,10,1,1,7.348881244659424,1.0,519.5755004882812,0.800000011920929,1.0,0.8666666746139526,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4d7baa7,vtsnn:mm-snn,2020-05-29 11:15:04,0:22:58,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_new epochs=500 loss_type=1 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,2,10,1,1,6.527399063110352,1.0,745.6845092773438,0.7166666388511658,1.0,0.7666666507720947,,,,,,,,,,,,,,,,,,,,,,,,,,,
12f06916,vtsnn:mm-snn,2020-05-29 10:51:31,0:15:12,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_new epochs=500 loss_type=1 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,1,10,1,1,6.208572864532471,1.0,536.1690063476562,0.800000011920929,1.0,0.8333333134651184,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d160b8b,vtsnn:mm-snn,2020-05-29 10:00:29,,staged,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_new epochs=500 loss_type=1 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,2,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ced5bf55,vtsnn:mm-snn,2020-05-29 09:53:50,0:13:06,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_new epochs=500 loss_type=1 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,1,10,1,1,7.398598670959473,1.0,589.065185546875,0.800000011920929,1.0,0.8666666746139526,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd8e8dd2,vtsnn:mm-snn,2020-05-29 09:24:57,0:14:00,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_new epochs=500 loss_type=1 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,1,10,1,1,7.232839107513428,1.0,688.8731689453125,0.8166666626930237,1.0,0.8166666626930237,,,,,,,,,,,,,,,,,,,,,,,,,,,
f73eb8af,vtsnn:mm-snn,2020-05-29 08:59:46,0:12:34,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_new epochs=500 loss_type=1 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,1,10,1,1,6.072819232940674,1.0,516.8775634765625,0.7833333611488342,1.0,0.8333333134651184,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fc4fdb0,vtsnn:mm-snn,2020-05-29 08:35:00,0:12:12,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_new epochs=500 loss_type=1 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,1,10,1,1,6.873139381408691,1.0,540.7481689453125,0.7833333611488342,0.9958333373069763,0.8333333134651184,,,,,,,,,,,,,,,,,,,,,,,,,,,
29cd0e9b,vtsnn:mm-snn,2020-05-29 04:19:07,0:14:10,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_new epochs=500 loss_type=0 lr=0.001 output_size=20 sample_file=5 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,5,10,1,0,0.019384615123271942,1.0,4.32269287109375,0.8666666746139526,1.0,0.9166666865348816,,,,,,,,,,,,,,,,,,,,,,,,,,,
12b108a6,vtsnn:mm-snn,2020-05-29 04:15:58,0:14:03,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_new epochs=500 loss_type=1 lr=0.001 output_size=20 sample_file=5 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,5,10,1,1,6.025777816772461,1.0,523.1790771484375,0.7833333611488342,1.0,0.800000011920929,,,,,,,,,,,,,,,,,,,,,,,,,,,
